"특성별(1)",특성별(2),2017,2017,2017,2017,2017
"특성별(1)",특성별(2),응답자수 (명),현재 참여 중 (%),참여 경험 있음 (%),신청했으나 참여기회 없었음 (%),비신청 (%)
"전체",소계,10073,6.7,4.6,3.5,85.3
"지역별",동부,6925,6.3,4.6,4.1,85.0
"지역별",읍·면부,3149,7.5,4.5,2.2,85.8
"성별",남자,4285,4.6,4.2,4.0,87.2
"성별",여자,5787,8.2,4.9,3.1,83.8
"연령별",65~69세,3314,3.7,2.8,3.8,89.7
"연령별",70~74세,2537,8.0,5.4,4.2,82.4
"연령별",75~79세,2136,10.9,6.2,3.4,79.6
"연령별",80~84세,1314,7.6,5.8,2.7,83.9
"연령별",85세 이상,774,2.1,3.4,1.2,93.4
"결혼상태별",배우자 있음,6416,5.3,3.9,3.6,87.1
"결혼상태별",배우자 없음,3657,9.1,5.8,3.2,82.0
"가구형태별",노인독거,2416,9.8,6.1,3.3,80.8
"가구형태별",노인부부,4907,5.4,3.9,3.5,87.2
"가구형태별",자녀동거,2370,6.2,4.6,3.7,85.5
"가구형태별",기타,380,6.1,4.7,3.2,86.1
"교육수준별",무학(글자모름),627,8.5,4.5,2.6,84.5
"교육수준별",무학(글자해독),1766,9.5,7.1,4.0,79.4
"교육수준별",초등학교,3452,7.0,4.3,3.7,85.0
"교육수준별",중학교,1712,6.4,4.6,3.8,85.3
"교육수준별",고등학교,1752,5.3,3.4,3.1,88.2
"교육수준별",전문대학 이상,766,1.3,3.0,2.2,93.5
"연가구소득별",제1오분위,2038,10.2,6.3,3.6,79.8
"연가구소득별",제2오분위,2010,9.0,6.2,3.8,81.0
"연가구소득별",제3오분위,2024,6.2,4.4,4.4,85.0
"연가구소득별",제4오분위,2004,5.2,3.0,3.4,88.4
"연가구소득별",제5오분위,1998,2.8,3.0,2.2,92.1
"기능상태별",제한없음,7689,7.0,4.5,3.8,84.7
"기능상태별",제한있음,2385,5.6,4.8,2.4,87.2
