"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017
"특성별(1)",특성별(2),응답자수 (명),매우 만족 (%),만족 (%),그저 그렇다 (%),만족하지 않음 (%),전혀 만족 안함 (%)
"전체",소계,9839,8.0,68.7,16.6,5.1,1.6
"지역별",동부,6739,7.5,67.8,17.3,5.5,1.8
"지역별",읍·면부,3100,9.1,70.6,15.0,4.1,1.3
"성별",남자,4202,7.8,68.8,16.4,5.2,1.9
"성별",여자,5637,8.2,68.6,16.8,5.0,1.4
"연령별",65~69세,3221,8.2,71.7,14.0,4.3,1.9
"연령별",70~74세,2475,8.0,68.5,16.9,5.1,1.5
"연령별",75~79세,2096,7.3,68.3,17.7,5.4,1.4
"연령별",80~84세,1288,9.1,64.1,18.9,6.4,1.5
"연령별",85세 이상,759,7.6,65.9,20.0,5.3,1.3
"결혼상태별",배우자 있음,6361,8.3,73.5,14.0,3.6,0.6
"결혼상태별",배우자 없음,3478,7.4,59.9,21.4,7.8,3.4
"가구형태별",노인독거,2258,7.3,59.0,20.8,8.3,4.6
"가구형태별",노인부부,4857,8.7,75.3,12.5,2.9,0.6
"가구형태별",자녀동거,2370,7.5,65.0,20.8,6.1,0.6
"가구형태별",기타,354,5.6,65.2,18.7,7.8,2.7
"교육수준별",무학(글자모름),614,6.0,59.6,24.7,6.7,3.1
"교육수준별",무학(글자해독),1710,8.7,61.4,21.3,6.4,2.2
"교육수준별",초등학교,3381,7.5,70.0,15.8,5.5,1.3
"교육수준별",중학교,1666,6.9,72.0,15.6,4.1,1.4
"교육수준별",고등학교,1715,8.5,71.5,13.7,4.6,1.7
"교육수준별",전문대학 이상,753,11.6,73.4,11.7,2.3,1.1
"현 취업상태별",취업중,3079,8.5,70.9,15.3,4.4,1.0
"현 취업상태별",미취업,6760,7.8,67.7,17.2,5.4,1.9
"연가구소득별",제1오분위,1898,4.9,56.9,23.2,10.2,4.9
"연가구소득별",제2오분위,1960,7.6,68.1,17.9,5.0,1.4
"연가구소득별",제3오분위,2002,7.9,72.1,14.5,4.5,1.0
"연가구소득별",제4오분위,1989,8.9,72.2,15.3,2.8,0.8
"연가구소득별",제5오분위,1990,10.6,73.8,12.4,3.2,0.1
"기능상태별",제한없음,7526,7.8,71.1,15.2,4.4,1.6
"기능상태별",제한있음,2313,8.8,61.0,21.2,7.3,1.8
