"특성별(1)",특성별(2),2014,2014,2014,2014,2017,2017,2017,2017
"특성별(1)",특성별(2),응답자수 (명),동호회(클럽) (%),친목단체 (%),정치사회단체 (%),응답자수 (명),동호회(클럽) (%),친목단체 (%),정치사회단체 (%)
"전체",소계,10279,4.9,43.3,0.5,10073,4.4,45.6,0.4
"지역별",동부,7870,5.3,45.6,0.6,6924,4.5,47.5,0.3
"지역별",읍·면부,2409,3.7,35.8,0.4,3149,4.2,41.5,0.7
"성별",남자,4291,8.4,51.7,0.9,4286,6.5,52.9,0.8
"성별",여자,5989,2.4,37.2,0.2,5788,2.9,40.2,0.1
"연령별",65~69세,3303,8.5,60.4,0.9,3314,6.8,63.1,0.7
"연령별",70~74세,2809,4.7,48.6,0.4,2536,4.6,51.1,0.4
"연령별",75~79세,2120,2.9,33.0,0.2,2137,2.9,36.6,0.4
"연령별",80~84세,1284,2.2,23.9,0.6,1314,2.6,24.3,0.2
"연령별",85세 이상,764,0.8,10.7,0.0,774,1.3,14.3,0.0
"결혼상태별",배우자 있음,6338,6.8,52.2,0.7,6416,5.4,54.4,0.5
"결혼상태별",배우자 없음,3942,2.0,29.0,0.2,3657,2.8,30.2,0.2
"가구형태별",노인독거,2390,2.2,31.5,0.3,2416,3.3,31.8,0.3
"가구형태별",노인부부,4595,6.8,51.1,0.8,4908,5.3,53.8,0.4
"가구형태별",자녀동거,2881,4.4,40.4,0.4,2371,3.7,41.9,0.3
"가구형태별",기타,414,4.2,44.9,0.2,379,5.8,51.7,1.8
"교육수준별",무학(글자모름),971,0.6,12.9,0.0,627,0.8,12.6,0.0
"교육수준별",무학(글자해독),2136,0.7,25.7,0.1,1766,1.1,24.5,0.1
"교육수준별",초등학교,3303,0.2,42.5,0.3,3452,2.5,42.8,0.2
"교육수준별",중학교,1347,6.2,55.7,0.5,1711,4.2,56.5,0.4
"교육수준별",고등학교,1717,9.3,62.6,0.9,1751,9.0,62.4,1.1
"교육수준별",전문대학 이상,805,22.2,67.8,2.6,766,14.0,71.5,1.0
"현 취업상태별",취업중,2970,6.2,51.3,0.9,3117,5.3,56.4,0.9
"현 취업상태별",미취업,7309,4.4,40.0,0.4,6956,4.1,40.8,0.2
"연가구소득별",제1오분위,2075,1.2,23.3,0.1,2038,2.0,25.8,0.2
"연가구소득별",제2오분위,2051,2.3,35.7,0.5,2010,2.7,38.0,0.2
"연가구소득별",제3오분위,2041,4.1,47.0,0.3,2023,3.4,49.4,0.3
"연가구소득별",제4오분위,2047,6.5,51.5,0.6,2004,5.3,54.2,0.5
"연가구소득별",제5오분위,2038,10.7,59.2,1.1,1998,9.0,61.2,0.8
"기능상태별",제한없음,8544,5.8,49.2,0.6,7689,5.5,53.8,0.5
"기능상태별",제한있음,1735,0.6,14.2,0.0,2385,0.9,19.2,0.2
